Precio(€),Nombre,Procesador,Ranking Procesador,RAM (GB),Disco duro,Pantalla,Gráfica
869.0,HP Pavilion Gaming 15-EC0001NS,AMD Ryzen 7 3750H,351,16 GB,1TB SSD,"15.6""",GTX 1650
339.99,HP 15-DA0181NS,Intel Celeron N4000,1531,8 GB,256GB SSD,"15.6""",
849.0,Lenovo Yoga 530-14IKB,Intel Core i7-8550U,590,8 GB,512GB SSD,"14"" Táctil",
1199.0,Asus Rog Strix G731GU-H7154T,Intel Core i7-9750H,229,16 GB,512GB SSD,"17.3""",GTX1660Ti
399.0,HP 15S-EQ00013NS,AMD Ryzen 3 3200U,857,8 GB,256GB SSD,"15.6""",
479.0,HP Notebook 14S-DQ0003NS,Intel Core i3-8130U,904,8 GB,512GB SSD,"14""",
549.0,Asus X509JA-BR065,Intel Core i5-1035G1,396,8 GB,256GB SSD,"15.6""",
649.0,Acer Aspire 5 A515-54-72TH,Intel Core i7-10510U,438,8 GB,256GB SSD,"15.6""",
799.0,Lenovo Ideapad S540-15IML,Intel Core i7-10510U,438,8 GB,512GB SSD,"15.6""",
1399.0,Asus Rog Strix G531GV-AL364,Intel Core i7-9750H,229,32 GB,1TB SSD,"15.6""",RTX 2060
949.0,HP Pavilion Gaming 15-DK0021NS,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",GTX 1650
579.0,Lenovo Ideapad 330-15IKB,Intel Core i5-8250U,572,8 GB,512GB SSD,"15.6""",
669.0,Lenovo Ideapad 330-15IKB,Intel Core i7-8550U,590,8 GB,512GB SSD,"15.6""",
455.0,HP 15-DA0245NS,Intel Core i3-7020U,1167,8 GB,256GB SSD,"15.6""",
669.0,Lenovo Ideapad S340-14ILL,Intel Core i5-1035G1,396,8 GB,512GB SSD,"14""",
579.0,Lenovo IdeaPad S145-15IWL,Intel Core i7-8565U,508,8 GB,256GB SSD,"15.6""",
1049.0,MSI Modern 14 A10RAS-870XES,Intel Core I7-10510U,"[[438, 'Intel Core i7-10510U'], [267, 'Intel Core i7-10710U']]",16 GB,1TB SSD,"14""",MX330
419.0,HP NoteBook 15-DB1026NS,AMD Ryzen 3 3200U,857,8 GB,512GB SSD,"15.6""",
2449.0,Apple Macbook Pro,Intel Core i7,"[[480, 'Intel Core i7-980'], [950, 'Intel Core i7-975']]",16 GB,512GB SSD,"16"" Gris Espacial",Radeon Pro 5300M
489.0,HP Pavilion x360 14-DH1011NS,Intel Core i3-10110U,828,4 GB,128GB SSD,"14"" Táctil",
659.0,Dell Vostro 3590,Intel Core i5-10210U,513,8 GB,256 GB SSD,"15.6""",
189.0,Primux ioxbook 1402FI,Intel Atom Z8350,"[[1775, 'Intel Atom x5-Z8350'], [2148, 'Intel Atom Z550']]",2 GB,120GB SSD + 32GB," 14"" Gris",
279.0,Lenovo V130-15IGM,Intel Celeron N4000,1531,4 GB,256GB SSD,"15.6""",
509.0,HP 15-DB1005NS,AMD Ryzen 5 3500U,454,8 GB,256GB SSD,"15.6""",
499.0,Lenovo Ideapad 330S-15IKB,Intel Core i3-7020U,1167,8 GB,512GB SSD,"15.6""",
529.0,Lenovo Ideapad 330-15ARR,AMD Ryzen 5 2500U,523,8 GB,256GB SSD,"15.6""",
329.0,HP Notebook 15-DA0255NS,Intel Celeron N4000,1531,8 GB,256GB SSD,"15.6""",
371.59,HP 250 G7,Intel Core i3-7020U,1167,4 GB,128GB SSD,"15.6""",
499.0,Lenovo IdeaPad S145-15IKB,Intel Core i3-7020U,1167,8 GB,512GB SSD,"15.6""",
769.0,HP Pavilion x360 14-DH1012NS,Intel Core i5-10210U,513,8 GB,512GB SSD,"14"" Táctil",
329.0,Acer Aspire 3 A315-54K-3391,Intel Core i3-7020U,1167,4 GB,128GB SSD,"15.6""",
689.0,Asus VivoBook S14 S431FA-EB159T,Intel Core i5-10210U,513,8 GB,256GB SSD,"14""",
719.9,Asus X509JB-BR055T,Intel Core i7-1065G7,312,8 GB,256GB SSD,"15.6""",MX110
1249.0,MSI Modern 15 A10RB-025ES,Intel Core i7-10510U,438,16 GB,1TB SSD,"15.6""",MX250
1049.0,Lenovo Legion Y540-15IRH-PG0,Intel Core i7-9750HF,206,16 GB,1TB+512GB SSD,"15.6""",GTX1650
1499.0,Asus Zenbook Duo UX481FL-BM044T,Intel Core i7-10510U,438,16 GB,512GB SSD,"14"" Táctil",MX250
1449.0,MSI GL65 Leopard 10SDK-032XES,Intel Core i7-10750H,126,16 GB,1TB SSD,"15.6""",GTX 1660Ti
489.0,Acer Aspire 5 A514-52-334A,Intel Core i3-10110U,828,8 GB,256GB SSD,"14""",
2449.0,Apple Macbook Pro,Intel Core i7,"[[480, 'Intel Core i7-980'], [950, 'Intel Core i7-975']]",16 GB,512GB SSD,"16"" Plata",Radeon Pro 5300M
1099.99,Asus Rog Strix G731GU-H7154,Intel Core i7-9750H,229,16 GB,512GB SSD,"17.3""",GTX1660Ti
699.0,Lenovo Ideapad S145-15IWL,Intel Core i7-8565,"[[508, 'Intel Core i7-8565U'], [512, 'Intel Core i7-8665U']]",8 GB,256GB SSD,"15.6""",MX110
319.0,Lenovo IdeaPad D330-10IGM,Intel Celeron N4000,1531,4 GB,64GB eMMC,"10.1"" Táctil",
1019.0,Lenovo Ideapad 330-15ICH,Intel Core i7-8750H,274,8 GB,1TB,"15.6""",GTX1050
307.59,HP 255 G7,AMD Ryzen 3 2200U,941,4 GB,1TB,"15.6""",
209.0,Primux ioxbook 1402FI,Intel Atom Z8350,"[[1775, 'Intel Atom x5-Z8350'], [2148, 'Intel Atom Z550']]",2 GB,240GB SSD + 32GB eMMC,"14.1""",
1149.0,MSI GF65 Thin 9SD-072XES,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",GTX 1660Ti
584.99,Lenovo Ideapad S340-14API,AMD Ryzen 5 3500U,454,8 GB,512GB SSD,"14""",
659.0,Acer Aspire 5 A515-52,Intel Core i7-8565U,508,8 GB,256GB SSD,"15.6""",
